1,4,314381,314352,314070,,,,,,,,,,,,,,,,,
47,4,314199,314414,314151,314534,,,,,,,,,,,,,,,,
48,3,314003,314324,314455,314068,,,,,,,,,,,,,,,,
49,4,314468,314351,314111,314431,314507,314539,314088,314073,314319,314517,314301,314422,314224,314365,314405,314114,314296,314327,314488,314262
50,4,314351,314194,314476,314299,314367,314103,314471,314149,314099,314511,314431,314057,314247,314129,314028,314413,314424,314428,314410,314041
51,6,314505,314262,314062,314488,314495,314019,314106,314398,314355,314199,314363,314534,314204,314544,314223,314189,314183,314544,314445,
52,3,314422,314272,314183,314296,314320,314106,314363,314013,314495,314508,314068,314475,314165,,,,,,,
53,3,314339,314431,314551,314436,314363,314357,314266,314521,314040,314488,314079,314396,314026,,,,,,,
54,6,314022,314105,314536,314163,314224,314431,314299,314015,314143,314245,314357,314365,314521,314398,314508,314497,,,,
55,4,314060,314044,314414,314069,314104,314143,314551,314188,314523,314462,314475,,,,,,,,,,
56,4,314381,314158,314540,314299,314370,314358,314247,314407,314057,314129,314553,314533,314088,314081,314478,314471,314218,314310,,
57,3,314319,314320,314248,314325,314526,314162,314143,314279,314551,314469,,,,,,,,,,
58,6,314161,314248,314319,314353,314406,314444,314120,314296,314391,314062,314357,314320,314370,314289,314162,,314506,314073,314377,314013
59,2,314038,314020,314294,314124,314040,314053,314009,314037,314524,314175,,,,,,,,,,
60,3,314339,314022,314183,314279,314250,314534,314526,314088,314158,314411,,,,,,,,,,
61,3,314041,314169,314170,314035,314073,314015,314181,314143,314348,,,,,,,,,,,
62,3,314183,314490,314223,,,,,,,,,,,,,,,,,
63,4,314214,314151,314186,314244,314429,314043,314327,314353,314058,314497,314224,314307,314155,314514,314441,314035,314088,314522,314348,314174
64,3,314313,314457,314248,314062,314186,314006,314499,314162,314289,314001,314181,314149,314226,314478,314536,314515,314189,,,
65,2,314480,314105,314088,314346,314229,314297,314475,314019,,,,,,,,,,,,
66,8,314437,314550,314445,314389,314286,314194,314471,314328,314057,314041,314232,314310,314411,314540,314545,314384,,,,
68,4,314207,314114,314319,314006,314445,314178,314073,314179,314289,314103,,,,,,,,,,
69,2,314421,314248,314391,314035,314530,314261,314457,314520,314439,,,,,,,,,,,
70,4,314465,314022,314051,314151,314498,314028,314092,314214,314327,314156,314192,314320,314212,314181,314163,314307,314469,314545,314169,314016
71,5,314111,314346,314106,314518,314546,,,,,,,,,,,,,,,
