219439,37,5,78,10,
219440,73,19,25,38,5
219441,54,81,62,,
219442,60,48,63,51,
219443,54,11,17,70,
219444,31,13,10,11,7
219446,25,56,35,67,70
219447,79,25,11,67,
219449,25,58,,,
219453,77,32,33,,
219455,24,,,,
219456,20,8,46,,
219457,7,3,60,78,40
219458,73,51,,,
219459,53,2,18,30,
219460,25,73,79,39,58
219461,27,24,17,,
219462,84,74,8,33,
219463,44,73,90,,
219464,3,30,,,
219465,68,42,17,,
219466,25,32,11,19,
219467,54,32,19,11,56
219468,25,10,72,73,32
219469,2,,,,
219470,32,11,72,87,91
219471,91,54,56,58,5
219472,32,86,11,54,
219473,47,16,67,69,
219474,72,32,37,83,
219475,90,39,43,,
219476,5,10,,,
219477,68,15,,,
219478,20,16,72,73,
219479,50,63,3,60,51
219480,24,,,,
219481,25,11,5,27,19
219482,58,73,78,37,43
219483,11,77,49,56,65
219484,43,79,54,73,32
219485,56,50,,,
219486,83,80,86,71,
219487,29,75,28,,
219488,50,51,63,,
219489,52,76,,,
219490,43,31,6,39,
219491,74,3,,,
219492,37,,,,
219493,20,33,,,
219494,38,73,,,
219495,81,40,,,
219498,54,21,,,
219499,2,,,,
219500,78,63,60,,
219501,37,32,35,,
219502,58,32,17,,
219503,13,,,,
219507,91,87,25,56,65
219508,68,,,,
219509,74,20,47,84,16
219510,72,54,32,,
219512,3,2,67,,
219372,72,,,,
219496,8,,,,
219511,11,77,25,,
