314447,16,31,,,
314463,26,16,22,,
314534,49,79,60,51,47
314308,103,127,125,112,106
314157,7,100,72,,
314523,90,85,55,49,51
314248,58,49,64,69,57
314066,122,128,35,107,97
314392,128,112,107,115,35
314024,117,114,124,42,111
314356,120,72,75,49,
314286,14,35,67,,
314488,49,60,75,51,53
314124,89,16,59,100,28B
314541,7,89,,,
314366,128,35,112,115,28B
314007,47,79,71,90,86
314490,62,33,,,
314247,86,87,80,50,56
314508,52,51,49,54,99
314316,66,83,60,,
314056,33,29,45,20,
314531,87,51,84,72,86
314438,2,9,6,,
314105,79,54,65,107,
314271,78,42,,,
314187,60,59,81,,
314170,61,107,130,97,124
314200,29,32,31,33,
314544,90,72,71,49,51
314431,54,53,49,50,73
314176,121,96,105,119,131
314440,16,28B,116,115,109
314099,60,49,50,80,72
314521,81,53,75,54,49
314073,61,49,58,52,68
314489,14,16,103,106,
314455,7,13,48,34,35
314194,80,59,66,25,50
314507,49,85,120,,
314495,52,51,49,,
314272,100,107,52,,
314525,80,89,50,56,
314549,9,50,36,,
314460,4,5,,,
314466,34,95,102,118,123
314046,35,41,119,,
314543,106,98,14,103,128
314136,46,45,19,,
314545,70,80,66,46,
314502,13,,,,
314510,106,98,,,
314548,121,120,,,
314499,64,36,40,,
314479,8,2,9,15,3
314344,103,100,13,107,112
314520,124,122,78,84,69
314294,59,89,76,,
314041,66,50,61,87,72
314328,124,13,98,97,67
314030,76,89,72,38,
314399,96,118,115,,
314464,25,83,59,76,
314188,72,55,50,,
314089,112,96,115,107,
314467,100,126,127,114,
314449,93,120,82,72,
314522,66,80,59,63,87
314309,7,35,13,14,
314511,59,50,72,91,83
314484,127,,,,
314266,53,107,130,105,122
314537,38,,,,
314160,127,113,,,
314246,98,97,,,
314143,66,57,54,55,61
314340,98,106,126,127,
314127,85,7,71,100,56
314142,127,98,106,103,14
314554,22,,,,
314265,103,107,100,97,106
314516,89,59,80,18,
314539,49,50,,,
314050,16,31,,,
314492,49,91,81,108,130
314384,59,100,66,13,35
314168,109,72,107,,
314457,64,78,69,,
314218,84,60,100,56,91
314217,84,60,100,56,49
314381,1,56,44,5,131
314320,52,57,70,58,
314533,100,56,16,35,25
314406,131,58,7,130,28B
314498,121,50,70,86,84
314288,131,105,108,121,117
314551,51,35,57,53,55
314496,100,127,73,103,
314156,50,76,72,70,130
314536,59,49,72,64,54
314020,59,83,25,,
314088,49,56,60,63,65
314037,59,83,80,,
314550,103,14,13,109,67
314524,59,,,,
314509,40,30,,,
314370,49,56,72,58,
314546,80,49,120,71,90
314469,70,51,57,120,63
314374,105,115,107,96,
314526,57,60,,,
314400,102,117,111,124,95
314422,74,52,49,,
314334,96,111,102,,
314173,127,103,,,
314158,66,56,60,79,49
314189,49,51,64,79,
314199,76,131,47,51,
314473,44,,,,
314506,72,127,58,,
314152,103,7,106,,
314373,33,18,24,,
314475,65,49,52,55,57
314429,131,78,63,96,
314121,51,107,100,127,74
314243,98,103,97,2,
314443,16,22,,,
314547,91,90,,,
314133,36,,,,
314385,106,103,97,100,
314555,60,,,,
314494,2,14,,,
314500,89,76,59,75,
314298,16,,,,
314255,59,83,25,76,
314387,83,59,92,76,
314444,58,,,,
314149,73,64,50,49,
314144,84,49,,,
314456,114,98,8,103,
314553,56,131,,,
314202,2,8,,,
314418,8,113,4,,
314278,60,75,77,,
314120,58,72,,,
314437,106,103,127,100,66
314161,107,36,58,35,51
314436,88,84,53,60,49
314382,14,13,103,125,
314191,90,75,50,84,81
314515,51,50,57,64,78
314514,56,50,63,,
314245,120,54,96,130,129
314501,50,72,,,
314208,13,7,100,98,97
314470,124,131,78,96,
314054,72,50,59,56,80
314540,72,66,56,,
314371,123,,,,
314424,50,80,89,,
314311,29,18,118,85,89
314513,35,41,,,
314518,80,71,76,,
314481,28,72,,,
314477,75,90,84,50,81
314482,100,78,66,7,101
314493,26,45,22,129,
314347,109,,,,
314474,39,121,132,,
